bta_name,aphia_id,taxon_level,genus,family,order,class,phylum,n_sites,total_abund,in_biotic,Size,LifeSpan,feedingmethod,mobility,growthform,Bioturbator,bio_none,bio_biodiff,bio_upward,bio_downward,bio_bioirr,bio_surf_mod,size<5,size_5_10,size_10_20,size_20_40,size_40_80,size>80,life<1,life_1_3,life_3_5,life_5_10,life>10,feed_deposit,feed_suspension,feed_detritus,feed_scavenger,feed_grazer,feed_predator,morph_soft,morph_tunic,morph_exoskeleton,morph_crustose,morph_cushion,morph_stalked,morph_endoskeleton,mob_fixed,mob_limited,mob_slow,mob_mobile,life_min,life_max
Balanus crenatus,106215,species,Balanus,Balanidae,Balanomorpha,Thecostraca,Arthropoda,29,29,TRUE,Small(1-2cm),1-2 years,"Passive suspension feeder, Active suspension feeder",Permanent attachment,Conical,Not relevant,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Glycera alba,130116,species,Glycera,Glyceridae,Phyllodocida,Polychaeta,Annelida,29,29,TRUE,Small-medium(3-10cm),NA,"Predator, Scavenger","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hiatella arctica,140103,species,Hiatella,Hiatellidae,Adapedonta,Bivalvia,Mollusca,29,29,TRUE,Small-medium(3-10cm),NA,"Passive suspension feeder, Active suspension feeder",Permanent attachment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aonides paucibranchiata,131107,species,Aonides,Spionidae,Spionida,Polychaeta,Annelida,27,27,TRUE,Small-medium(3-10cm),NA,"Surface deposit feeder, Sub-surface deposit feeder",Burrower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ampelisca diadema,101896,species,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,24,24,TRUE,Small(1-2cm),1-2 years,"Passive suspension feeder, Active suspension feeder","Swimmer, Burrower, Temporary attachment",Articulate,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Phymatolithon calcareum,145199,species,Phymatolithon,Hapalidiaceae,Hapalidiales,Florideophyceae,Rhodophyta,23,23,TRUE,Small-medium(3-10cm),51-100 years,Photoautotroph,See additional information,Algal gravel,Not relevant,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,100
Abludomelita obtusata,102788,species,Abludomelita,Melitidae,Amphipoda,Malacostraca,Arthropoda,22,22,TRUE,Very small(<1cm),NA,"Surface deposit feeder, Sub-surface deposit feeder","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phaxas pellucidus,140737,species,Phaxas,Pharidae,Adapedonta,Bivalvia,Mollusca,21,22,TRUE,Small-medium(3-10cm),Insufficient information,"Passive suspension feeder, Active suspension feeder",Burrower,Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ampelisca brevicornis,101891,species,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,21,21,TRUE,Small(1-2cm),1-2 years,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder","Swimmer, Crawler",Articulate,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Arctica islandica,138802,species,Arctica,Arcticidae,Venerida,Bivalvia,Mollusca,19,20,TRUE,Medium(11-20 cm),100+ years,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",Burrower,Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100
Scoloplos armiger,130537,species,Scoloplos,Orbiniidae,NA,Polychaeta,Annelida,18,18,TRUE,Medium(11-20 cm),3-5 years,"Surface deposit feeder, Sub-surface deposit feeder",Burrower,Vermiform segmented,Diffusive mixing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5
Urothoe elegans,103228,species,Urothoe,Urothoidae,Amphipoda,Malacostraca,Arthropoda,18,18,TRUE,Very small(<1cm),NA,"Surface deposit feeder, Sub-surface deposit feeder","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parvicardium scabrum,139012,species,Parvicardium,Cardiidae,Cardiida,Bivalvia,Mollusca,17,17,TRUE,Small(1-2cm),NA,"Passive suspension feeder, Active suspension feeder",Burrower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anoplodactylus petiolatus,134723,species,Anoplodactylus,Phoxichilidiidae,Pantopoda,Pycnogonida,Arthropoda,15,15,TRUE,Very small(<1cm),NA,"Predator, Scavenger","Swimmer, Crawler",NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harmothoe impar,130770,species,Harmothoe,Polynoidae,Phyllodocida,Polychaeta,Annelida,15,15,TRUE,Small(1-2cm),NA,"Predator, Scavenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gattyana cirrhosa,130749,species,Gattyana,Polynoidae,Phyllodocida,Polychaeta,Annelida,14,14,TRUE,Small-medium(3-10cm),NA,"Predator, Scavenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eteone longa,130616,species,Eteone,Phyllodocidae,Phyllodocida,Polychaeta,Annelida,13,13,TRUE,Small-medium(3-10cm),1-2 years,"Predator, Scavenger","Swimmer, Crawler, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,3,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Phoronis muelleri,128549,species,Phoronis,Phoronidae,NA,NA,Phoronida,13,13,TRUE,Small-medium(3-10cm),1 year,"Passive suspension feeder, Active suspension feeder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Protodorvillea kefersteini,130041,species,Protodorvillea,Dorvilleidae,Eunicida,Polychaeta,Annelida,13,13,TRUE,NA,NA,"Predator, Scavenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spisula solida,140301,species,Spisula,Mactridae,Venerida,Bivalvia,Mollusca,12,12,TRUE,Small-medium(3-10cm),6-10 years,"Passive suspension feeder, Active suspension feeder","Crawler, Burrower",Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10
Thracia villosiuscula,141651,species,Thracia,Thraciidae,NA,Bivalvia,Mollusca,12,12,TRUE,Small(1-2cm),NA,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",Burrower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinocardium cordatum,124392,species,Echinocardium,Loveniidae,Spatangoida,Echinoidea,Echinodermata,11,11,TRUE,Small-medium(3-10cm),11-20 years,"Surface deposit feeder, Sub-surface deposit feeder",Burrower,Globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,20
Psammechinus miliaris,124319,species,Psammechinus,Parechinidae,Camarodonta,Echinoidea,Echinodermata,11,11,TRUE,Small-medium(3-10cm),6-10 years,"Predator, Scavenger",Crawler,Globose,Not relevant,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,3,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10
Anomia ephippium,138748,species,Anomia,Anomiidae,Pectinida,Bivalvia,Mollusca,10,10,TRUE,Small-medium(3-10cm),NA,"Passive suspension feeder, Active suspension feeder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphrodita aculeata,129840,species,Aphrodita,Aphroditidae,Phyllodocida,Polychaeta,Annelida,9,9,TRUE,Medium(11-20 cm),6-10 years,"Predator, Scavenger","Crawler, Burrower",Vermiform segmented,Diffusive mixing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10
Electra pilosa,1789435,species,Electra,Electridae,Cheilostomatida,Gymnolaemata,Bryozoa,9,9,TRUE,Small-medium(3-10cm),Insufficient information,Active suspension feeder,Permanent attachment,Crustose hard,Not relevant,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modiolus modiolus,140467,species,Modiolus,Modiolidae,Mytilida,Bivalvia,Mollusca,9,9,TRUE,Medium(11-20 cm),51-100 years,"Passive suspension feeder, Active suspension feeder","Temporary attachment, Permanent attachment",Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,100
Mya arenaria,140430,species,Mya,Myidae,Myida,Bivalvia,Mollusca,9,9,TRUE,Medium(11-20 cm),11-20 years,"Passive suspension feeder, Active suspension feeder",Burrower,Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,20
Poecilochaetus serpens,130711,species,Poecilochaetus,Poecilochaetidae,Spionida,Polychaeta,Annelida,9,9,TRUE,NA,NA,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",Burrower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Escharella immersa,111484,species,Escharella,Escharellidae,Cheilostomatida,Gymnolaemata,Bryozoa,8,8,TRUE,NA,NA,"Passive suspension feeder, Active suspension feeder",Permanent attachment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lanice conchilega,131495,species,Lanice,Terebellidae,Terebellida,Polychaeta,Annelida,8,8,TRUE,Medium-large(21-50cm),Insufficient information,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder","Swimmer, Crawler, Burrower","Tubicolous, Vermiform segmented",Not researched,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polydora ciliata,131141,species,Polydora,Spionidae,Spionida,Polychaeta,Annelida,8,8,TRUE,Small(1-2cm),1-2 years,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",Burrower,"Vermiform segmented, Tubicolous",Not relevant,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Abra prismatica,141436,species,Abra,Semelidae,Cardiida,Bivalvia,Mollusca,7,7,TRUE,Small(1-2cm),NA,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",NA,Articulate,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ampelisca spinipes,101928,species,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,7,7,TRUE,Small(1-2cm),1-2 years,"Passive suspension feeder, Active suspension feeder","Swimmer, Burrower, Temporary attachment",Articulate,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Eulalia viridis,130639,species,Eulalia,Phyllodocidae,Phyllodocida,Polychaeta,Annelida,7,7,TRUE,Medium(11-20 cm),6-10 years,"Predator, Scavenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10
Eurydice pulchra,118852,species,Eurydice,Cirolanidae,Isopoda,Malacostraca,Arthropoda,7,7,TRUE,Very small(<1cm),1-2 years,"Predator, Scavenger","Swimmer, Burrower",Articulate,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Acanthocardia echinata,138992,species,Acanthocardia,Cardiidae,Cardiida,Bivalvia,Mollusca,6,6,TRUE,Small-medium(3-10cm),11-20 years,"Passive suspension feeder, Active suspension feeder",Burrower,Bivalved,Not relevant,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,20
Astarte sulcata,138824,species,Astarte,Astartidae,Carditida,Bivalvia,Mollusca,6,6,TRUE,Small(1-2cm),Insufficient information,"Passive suspension feeder, Active suspension feeder",Burrower,Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eulalia mustela,130631,species,Eulalia,Phyllodocidae,Phyllodocida,Polychaeta,Annelida,6,6,TRUE,Medium(11-20 cm),NA,"Predator, Scavenger","Swimmer, Crawler, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nephrops norvegicus,107254,species,Nephrops,Nephropidae,Decapoda,Malacostraca,Arthropoda,6,6,TRUE,Medium-large(21-50cm),6-10 years,"Predator, Scavenger","Swimmer, Crawler, Burrower",Articulate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10
Pisidia longicornis,107188,species,Pisidia,Porcellanidae,Decapoda,Malacostraca,Arthropoda,6,6,TRUE,Small(1-2cm),3-5 years,"Passive suspension feeder, Active suspension feeder","Swimmer, Crawler",Articulate,Not relevant,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5
Pisione remota,130707,species,Pisione,Sigalionidae,Phyllodocida,Polychaeta,Annelida,6,6,TRUE,Small-medium(3-10cm),NA,"Predator, Scavenger",Burrower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spiophanes bombyx,131187,species,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida,6,6,TRUE,Small-medium(3-10cm),See additional information,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",Burrower,"Tubicolous, Vermiform segmented",Not researched,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
