bta_name,aphia_id,taxon_level,genus,family,order,class,phylum,n_sites,total_abund,in_biotic,Size,LifeSpan,feedingmethod,mobility,growthform,Bioturbator,bio_none,bio_biodiff,bio_upward,bio_downward,bio_bioirr,bio_surf_mod,size<5,size_5_10,size_10_20,size_20_40,size_40_80,size>80,life<1,life_1_3,life_3_5,life_5_10,life>10,feed_deposit,feed_suspension,feed_detritus,feed_scavenger,feed_grazer,feed_predator,morph_soft,morph_tunic,morph_exoskeleton,morph_crustose,morph_cushion,morph_stalked,morph_endoskeleton,mob_fixed,mob_limited,mob_slow,mob_mobile,life_min,life_max
Ampelisca diadema,101896,species,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,24,55,TRUE,Small(1-2cm),1-2 years,"Passive suspension feeder, Active suspension feeder","Swimmer, Burrower, Temporary attachment",Articulate,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Harmothoe impar,130770,species,Harmothoe,Polynoidae,Phyllodocida,Polychaeta,Annelida,15,52,TRUE,Small(1-2cm),NA,"Predator, Scavenger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glycera alba,130116,species,Glycera,Glyceridae,Phyllodocida,Polychaeta,Annelida,29,51,TRUE,Small-medium(3-10cm),NA,"Predator, Scavenger","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amphiura chiajei,125073,species,Amphiura,Amphiuridae,Amphilepidida,Ophiuroidea,Echinodermata,30,44,TRUE,Small-medium(3-10cm),6-10 years,"Surface deposit feeder, Sub-surface deposit feeder","Crawler, Burrower","Stellate, Radial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10
Spisula solida,140301,species,Spisula,Mactridae,Venerida,Bivalvia,Mollusca,12,42,TRUE,Small-medium(3-10cm),6-10 years,"Passive suspension feeder, Active suspension feeder","Crawler, Burrower",Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10
Mytilus edulis,140480,species,Mytilus,Mytilidae,Mytilida,Bivalvia,Mollusca,4,41,TRUE,Medium(11-20 cm),21-50 years,"Passive suspension feeder, Active suspension feeder","Temporary attachment, Permanent attachment",Bivalved,Not relevant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,50
Abludomelita obtusata,102788,species,Abludomelita,Melitidae,Amphipoda,Malacostraca,Arthropoda,22,39,TRUE,Very small(<1cm),NA,"Surface deposit feeder, Sub-surface deposit feeder","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ampelisca brevicornis,101891,species,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,21,36,TRUE,Small(1-2cm),1-2 years,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder","Swimmer, Crawler",Articulate,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Parvicardium scabrum,139012,species,Parvicardium,Cardiidae,Cardiida,Bivalvia,Mollusca,17,36,TRUE,Small(1-2cm),NA,"Passive suspension feeder, Active suspension feeder",Burrower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phaxas pellucidus,140737,species,Phaxas,Pharidae,Adapedonta,Bivalvia,Mollusca,21,36,TRUE,Small-medium(3-10cm),Insufficient information,"Passive suspension feeder, Active suspension feeder",Burrower,Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modiolus modiolus,140467,species,Modiolus,Modiolidae,Mytilida,Bivalvia,Mollusca,9,35,TRUE,Medium(11-20 cm),51-100 years,"Passive suspension feeder, Active suspension feeder","Temporary attachment, Permanent attachment",Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,100
Arctica islandica,138802,species,Arctica,Arcticidae,Venerida,Bivalvia,Mollusca,19,34,TRUE,Medium(11-20 cm),100+ years,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",Burrower,Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100
Scoloplos armiger,130537,species,Scoloplos,Orbiniidae,NA,Polychaeta,Annelida,18,32,TRUE,Medium(11-20 cm),3-5 years,"Surface deposit feeder, Sub-surface deposit feeder",Burrower,Vermiform segmented,Diffusive mixing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5
Scoloplos armiger,334772,species,Scoloplos,Orbiniidae,NA,Polychaeta,Annelida,18,32,TRUE,Medium(11-20 cm),3-5 years,"Surface deposit feeder, Sub-surface deposit feeder",Burrower,Vermiform segmented,Diffusive mixing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5
Pisione remota,130707,species,Pisione,Sigalionidae,Phyllodocida,Polychaeta,Annelida,6,27,TRUE,Small-medium(3-10cm),NA,"Predator, Scavenger",Burrower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anoplodactylus petiolatus,134723,species,Anoplodactylus,Phoxichilidiidae,Pantopoda,Pycnogonida,Arthropoda,15,23,TRUE,Very small(<1cm),NA,"Predator, Scavenger","Swimmer, Crawler",NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eteone longa,130616,species,Eteone,Phyllodocidae,Phyllodocida,Polychaeta,Annelida,13,23,TRUE,Small-medium(3-10cm),1-2 years,"Predator, Scavenger","Swimmer, Crawler, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,3,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Mya arenaria,140430,species,Mya,Myidae,Myida,Bivalvia,Mollusca,9,21,TRUE,Medium(11-20 cm),11-20 years,"Passive suspension feeder, Active suspension feeder",Burrower,Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,20
Phoronis muelleri,128549,species,Phoronis,Phoronidae,NA,NA,Phoronida,13,21,TRUE,Small-medium(3-10cm),1 year,"Passive suspension feeder, Active suspension feeder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
